issue_id,file_path
MRM-1957,archiva-modules/plugins/repository-statistics/src/main/java/org/apache/archiva/metadata/repository/stats/RepositoryStatistics.java
MRM-1957,archiva-modules/plugins/repository-statistics/src/main/java/org/apache/archiva/metadata/repository/stats/RepositoryStatisticsFactory.java
MRM-1957,archiva-modules/plugins/repository-statistics/src/main/java/org/apache/archiva/metadata/repository/stats/RepositoryStatisticsManager.java
MRM-1957,archiva-modules/plugins/repository-statistics/src/test/java/org/apache/archiva/metadata/repository/stats/JcrRepositoryStatisticsGatheringTest.java
MRM-1957,archiva-modules/plugins/repository-statistics/src/test/java/org/apache/archiva/metadata/repository/stats/RepositoryStatisticsManagerTest.java
MRM-1957,pom.xml
MRM-1956,archiva-jetty/pom.xml
MRM-1956,archiva-jetty/src/main/conf/jetty.xml
MRM-1956,archiva-modules/archiva-base/archiva-repository-scanner/src/main/java/org/apache/archiva/repository/scanner/DefaultRepositoryScanner.java
MRM-1956,archiva-modules/archiva-scheduler/archiva-scheduler-repository/src/test/java/org/apache/archiva/scheduler/repository/AbstractArchivaRepositoryScanningTaskExecutorTest.java
MRM-1956,archiva-modules/archiva-scheduler/archiva-scheduler-repository/src/test/java/org/apache/archiva/scheduler/repository/ArchivaRepositoryScanningTaskExecutorAbstractTest.java
MRM-1956,archiva-modules/archiva-scheduler/archiva-scheduler-repository/src/test/java/org/apache/archiva/scheduler/repository/ArchivaRepositoryScanningTaskExecutorPhase1Test.java
MRM-1956,archiva-modules/archiva-scheduler/archiva-scheduler-repository/src/test/java/org/apache/archiva/scheduler/repository/ArchivaRepositoryScanningTaskExecutorPhase2Test.java
MRM-1956,archiva-modules/archiva-scheduler/archiva-scheduler-repository/src/test/resources/log4j2-test.xml
MRM-1956,pom.xml
MRM-1952,pom.xml
MRM-1954,archiva-jetty/pom.xml
MRM-1954,archiva-modules/archiva-web/archiva-rest/archiva-rest-services/pom.xml
MRM-1954,archiva-modules/archiva-web/archiva-webapp-test/pom.xml
MRM-1954,archiva-modules/archiva-web/archiva-webdav/pom.xml
MRM-1954,archiva-modules/plugins/metadata-store-jcr/src/main/java/org/apache/archiva/metadata/repository/jcr/ArchivaJcrRepositoryConfig.java
MRM-1953,archiva-modules/archiva-web/archiva-rest/archiva-rest-services/pom.xml
MRM-1953,archiva-modules/archiva-web/archiva-web-common/pom.xml
MRM-1953,archiva-modules/archiva-web/archiva-webdav/pom.xml
