issue_id,topic_ngram
MRM-415,org.apache.maven.archiva.database.jdo.jdorepositorydao.getrepository(jdorepositorydao.java:76_org.apache.maven.archiva.web.startup.configurationsynchronization.synchconfiguration(configurationsynchronization.java:94
MRM-415,org.apache.maven.archiva.web.startup.configurationsynchronization.synchconfiguration(configurationsynchronization.java:94_org.apache.maven.archiva.web.startup.configurationsynchronization.initialize(configurationsynchronization.java:147
MRM-415,org.apache.maven.archiva.web.startup.configurationsynchronization.initialize(configurationsynchronization.java:147_org.codehaus.plexus.personality.plexus.lifecycle.phase.initializephase.execute(initializephase.java:33){cod
MRM-485,unabl_creat
MRM-485,creat_snapshot
MRM-485,snapshot_repositori
MRM-485,repositori_1-
MRM-485,1-_creat
MRM-485,creat_edit
MRM-485,edit_repository2-
MRM-485,repository2-_uncheck
MRM-485,uncheck_releas
MRM-485,releas_included"3-
MRM-485,included"3-_submit=
MRM-485,submit=_>
MRM-485,>_repositori
MRM-485,repositori_releas
MRM-485,releas_includ
MRM-485,includ_stay
MRM-485,stay_true
MRM-488,properti_pom
MRM-488,pom_resolv
MRM-488,resolv_brows
MRM-488,brows_extens
MRM-488,extens_use
MRM-488,use_properti
MRM-488,properti_pom.xml
MRM-488,pom.xml_attach
MRM-488,attach_one).but
MRM-488,one).but_archiva
MRM-488,archiva_resolv
MRM-488,resolv_pom
MRM-488,pom_configur
MRM-488,configur_brows
MRM-488,brows_project
MRM-488,project_resolv
MRM-488,resolv_values.attach
MRM-488,values.attach_mention
MRM-488,mention_project
MRM-488,project_pom.xml
MRM-488,pom.xml_screenshot
MRM-488,screenshot_brows
MRM-488,brows_page
MRM-431,error_artifact
MRM-431,artifact_pom.xml
MRM-431,pom.xml_file
MRM-431,file_tri
MRM-431,tri_download
MRM-431,download_artifact
MRM-431,artifact_pom
MRM-431,pom_instanc
MRM-431,instanc_xml
MRM-431,xml_secur
MRM-431,secur_xmlsec
MRM-431,xmlsec_maven
MRM-431,maven_fail
MRM-431,fail_error
MRM-431,error_archiva
MRM-431,archiva_maven
MRM-431,fail_show
MRM-431,show_warning).her
MRM-431,warning).her_stack
MRM-431,stack_trace
MRM-431,trace_archiva
MRM-431,archiva_need
MRM-431,need_modifi
MRM-431,modifi_pom.xml
MRM-431,file_point
MRM-431,point_archiva
MRM-431,archiva_server
MRM-431,server_port
MRM-431,port_work.{code}+
MRM-431,work.{code}+_error
MRM-431,error_stacktrac
MRM-431,stacktrac_turn
MRM-431,turn_on.[info
MRM-431,on.[info_scan
MRM-431,scan_project
MRM-431,project_[info
MRM-431,[info_----------------------------------------------------------------------------[info
MRM-431,----------------------------------------------------------------------------[info_build
MRM-431,build_aplicacion
MRM-431,aplicacion_xxx[info
MRM-431,xxx[info_task
MRM-431,task_segment
MRM-431,segment_compile][info
MRM-431,compile][info_----------------------------------------------------------------------------[info
MRM-431,----------------------------------------------------------------------------[info_resourc
MRM-431,resourc_resources][info
MRM-431,resources][info_default
MRM-431,default_encod
MRM-431,encod_copi
MRM-431,copi_filter
MRM-431,filter_resources.download
MRM-431,resources.download_http://trn
MRM-431,http://trn_esv1:8080
MRM-431,esv1:8080_archiva
MRM-431,archiva_repositori
MRM-431,repositori_intern
MRM-431,intern_xml
MRM-431,secur_xmlsec/1.3.0
MRM-431,xmlsec/1.3.0_xmlsec-1.3.0.pom[info
MRM-431,xmlsec-1.3.0.pom[info_------------------------------------------------------------------------[error
MRM-431,------------------------------------------------------------------------[error_build
MRM-431,build_error[info
MRM-431,error[info_------------------------------------------------------------------------[info
MRM-431,------------------------------------------------------------------------[info_error
MRM-431,error_build
MRM-431,build_pom
MRM-431,pom_project
MRM-431,project_pom).project
MRM-431,pom).project_would
MRM-431,would_xml
MRM-431,secur_xmlsecreason
MRM-431,xmlsecreason_error
MRM-431,error_get
MRM-431,get_pom
MRM-431,pom_xml
MRM-431,xmlsec_repositori
MRM-431,repositori_error
MRM-431,error_transfer
MRM-431,transfer_file
MRM-431,file_xml
MRM-431,xmlsec_pom:1.3.0from
MRM-431,pom:1.3.0from_specifi
MRM-431,specifi_remot
MRM-431,remot_repositori
MRM-431,repositori_central
MRM-431,central_http://trn
MRM-431,intern_intern
MRM-431,intern_snapshot
MRM-431,snapshot_http://trn
MRM-431,repositori_snapshots)[info
MRM-431,snapshots)[info_------------------------------------------------------------------------[info
MRM-431,------------------------------------------------------------------------[info_traceorg.apache.maven.lifecycle.lifecycleexecutionexcept
MRM-431,traceorg.apache.maven.lifecycle.lifecycleexecutionexcept_unabl
MRM-431,unabl_depend
MRM-431,depend_inform
MRM-431,inform_unabl
MRM-431,unabl_read
MRM-431,read_metadata
MRM-431,metadata_file
MRM-431,file_artifact
MRM-431,artifact_xml
MRM-431,xmlsec_jar
MRM-431,jar_error
MRM-431,repositori_snapshot
MRM-431,snapshot_xml
MRM-431,xmlsec_jar:1.3.0from
MRM-431,jar:1.3.0from_specifi
MRM-431,repositori_snapshots)path
MRM-431,snapshots)path_depend
MRM-431,depend_com.foo.bar
MRM-431,com.foo.bar_bar
MRM-431,bar_web
MRM-431,web_war:1.0.0-snapshot
MRM-431,war:1.0.0-snapshot_org.apache.maven.lifecycle.defaultlifecycleexecutor.executegoals(defaultlifecycleexecutor.java:551
MRM-431,org.apache.maven.lifecycle.defaultlifecycleexecutor.executegoals(defaultlifecycleexecutor.java:551_org.apache.maven.lifecycle.defaultlifecycleexecutor.executegoalwithlifecycle(defaultlifecycleexecutor.java:475
MRM-431,org.apache.maven.lifecycle.defaultlifecycleexecutor.executegoalwithlifecycle(defaultlifecycleexecutor.java:475_org.apache.maven.lifecycle.defaultlifecycleexecutor.executegoal(defaultlifecycleexecutor.java:454
MRM-431,org.apache.maven.lifecycle.defaultlifecycleexecutor.executegoal(defaultlifecycleexecutor.java:454_org.apache.maven.lifecycle.defaultlifecycleexecutor.executegoalandhandlefailures(defaultlifecycleexecutor.java:306
MRM-431,org.apache.maven.lifecycle.defaultlifecycleexecutor.executegoalandhandlefailures(defaultlifecycleexecutor.java:306_org.apache.maven.lifecycle.defaultlifecycleexecutor.executetasksegments(defaultlifecycleexecutor.java:273
MRM-431,org.apache.maven.lifecycle.defaultlifecycleexecutor.executetasksegments(defaultlifecycleexecutor.java:273_org.apache.maven.lifecycle.defaultlifecycleexecutor.execute(defaultlifecycleexecutor.java:140
MRM-431,org.apache.maven.lifecycle.defaultlifecycleexecutor.execute(defaultlifecycleexecutor.java:140_org.apache.maven.defaultmaven.doexecute(defaultmaven.java:322
MRM-431,org.apache.maven.defaultmaven.doexecute(defaultmaven.java:322_org.apache.maven.defaultmaven.execute(defaultmaven.java:115
MRM-431,org.apache.maven.defaultmaven.execute(defaultmaven.java:115_org.apache.maven.cli.mavencli.main(mavencli.java:256
MRM-431,org.apache.maven.cli.mavencli.main(mavencli.java:256_sun.reflect.nativemethodaccessorimpl.invoke0(n
MRM-431,sun.reflect.nativemethodaccessorimpl.invoke0(n_method
MRM-431,method_sun.reflect.nativemethodaccessorimpl.invoke(nativemethodaccessorimpl.java:39
MRM-431,sun.reflect.nativemethodaccessorimpl.invoke(nativemethodaccessorimpl.java:39_sun.reflect.delegatingmethodaccessorimpl.invoke(delegatingmethodaccessorimpl.java:25
MRM-431,sun.reflect.delegatingmethodaccessorimpl.invoke(delegatingmethodaccessorimpl.java:25_java.lang.reflect.method.invoke(method.java:585
MRM-431,java.lang.reflect.method.invoke(method.java:585_org.codehaus.classworlds.launcher.launchenhanced(launcher.java:315
MRM-431,org.codehaus.classworlds.launcher.launchenhanced(launcher.java:315_org.codehaus.classworlds.launcher.launch(launcher.java:255
MRM-431,org.codehaus.classworlds.launcher.launch(launcher.java:255_org.codehaus.classworlds.launcher.mainwithexitcode(launcher.java:430
MRM-431,org.codehaus.classworlds.launcher.mainwithexitcode(launcher.java:430_org.codehaus.classworlds.launcher.main(launcher.java:375)caus
MRM-431,org.codehaus.classworlds.launcher.main(launcher.java:375)caus_org.apache.maven.artifact.resolver.artifactresolutionexcept
MRM-431,org.apache.maven.artifact.resolver.artifactresolutionexcept_unabl
MRM-431,war:1.0.0-snapshot_org.apache.maven.artifact.resolver.defaultartifactcollector.recurse(defaultartifactcollector.java:297
MRM-431,org.apache.maven.artifact.resolver.defaultartifactcollector.recurse(defaultartifactcollector.java:297_org.apache.maven.artifact.resolver.defaultartifactcollector.collect(defaultartifactcollector.java:67
MRM-431,org.apache.maven.artifact.resolver.defaultartifactcollector.collect(defaultartifactcollector.java:67_org.apache.maven.artifact.resolver.defaultartifactresolver.resolvetransitively(defaultartifactresolver.java:223
MRM-431,org.apache.maven.artifact.resolver.defaultartifactresolver.resolvetransitively(defaultartifactresolver.java:223_org.apache.maven.artifact.resolver.defaultartifactresolver.resolvetransitively(defaultartifactresolver.java:211
MRM-431,org.apache.maven.artifact.resolver.defaultartifactresolver.resolvetransitively(defaultartifactresolver.java:211_org.apache.maven.artifact.resolver.defaultartifactresolver.resolvetransitively(defaultartifactresolver.java:182
MRM-431,org.apache.maven.artifact.resolver.defaultartifactresolver.resolvetransitively(defaultartifactresolver.java:182_org.apache.maven.plugin.defaultpluginmanager.resolvetransitivedependencies(defaultpluginmanager.java:1117
MRM-431,org.apache.maven.plugin.defaultpluginmanager.resolvetransitivedependencies(defaultpluginmanager.java:1117_org.apache.maven.plugin.defaultpluginmanager.executemojo(defaultpluginmanager.java:366
MRM-431,org.apache.maven.plugin.defaultpluginmanager.executemojo(defaultpluginmanager.java:366_org.apache.maven.lifecycle.defaultlifecycleexecutor.executegoals(defaultlifecycleexecutor.java:534
MRM-431,org.apache.maven.lifecycle.defaultlifecycleexecutor.executegoals(defaultlifecycleexecutor.java:534_morecaus
MRM-431,morecaus_org.apache.maven.artifact.metadata.artifactmetadataretrievalexcept
MRM-431,org.apache.maven.artifact.metadata.artifactmetadataretrievalexcept_unabl
MRM-431,snapshot_org.apache.maven.project.artifact.mavenmetadatasource.retrieve(mavenmetadatasource.java:131
MRM-431,org.apache.maven.project.artifact.mavenmetadatasource.retrieve(mavenmetadatasource.java:131_org.apache.maven.artifact.resolver.defaultartifactcollector.recurse(defaultartifactcollector.java:275
MRM-431,org.apache.maven.artifact.resolver.defaultartifactcollector.recurse(defaultartifactcollector.java:275_morecaus
MRM-431,morecaus_org.apache.maven.project.projectbuildingexcept
MRM-431,org.apache.maven.project.projectbuildingexcept_error
MRM-431,get_pomfor
MRM-431,pomfor_xml
MRM-431,snapshot_org.apache.maven.project.defaultmavenprojectbuilder.findmodelfromrepository(defaultmavenprojectbuilder.java:501
MRM-431,org.apache.maven.project.defaultmavenprojectbuilder.findmodelfromrepository(defaultmavenprojectbuilder.java:501_org.apache.maven.project.defaultmavenprojectbuilder.buildfromrepository(defaultmavenprojectbuilder.java:225
